,ADDRESS,URM_CLASS,UPGRADE_STATUS,PARTIAL_UPGRADE,UPGRADE_DATE,UPGRADE_STANDARD,UPGRADE_PERMIT_NUMBER,UPGRADE_PERMIT_NOTES,YEAR_BUILT,STORY_COUNT,TAX_EXEMPT,NEIGHBORHOOD,LONG_ADDRESS,LONG,LAT
23,7214 N PHILADELPHIA,1,UNKNOWN,Unknown,1995,Voluntary,95-003647-CO,"""N. PRECINCT RENOVATION SEISMIC, ADA, WALL RELOCATION."" - No fiche for this permit could be located.  Unclear what was upgraded and to what code level.",1910,3.0,Cities and Towns,Cathedral Park Neighborhood Association,7214 N PHILADELPHIA PORTLAND OREGON,-122.7558949,45.5890469
24,7340 N PHILADELPHIA,3,UNKNOWN,,,,,,1955,2.0,,St Johns Neighborhood Association,7340 N PHILADELPHIA PORTLAND OREGON,-122.7543337,45.5897137
25,6610 N SALEM,4,UNKNOWN,,,,,,1952,1.0,,Cathedral Park Neighborhood Association,6610 N SALEM PORTLAND OREGON,-122.7584987,45.585895
26,8620 N Lombard,3,UNKNOWN,,,,,,1933,1.0,,St Johns Neighborhood Association,8620 N Lombard PORTLAND OREGON,-122.755078,45.5901539
27,7640 N JERSEY ST,3,UNKNOWN,,,,,,1907,1.0,,St Johns Neighborhood Association,7640 N JERSEY ST PORTLAND OREGON,-122.7460324,45.5870501
28,7522 N LOMBARD ST,3,UNKNOWN,Unknown,2009,IBC 2006,08-119123-CO,2 story addition,1952,1.0,,St Johns Neighborhood Association,7522 N LOMBARD ST PORTLAND OREGON,-122.7440985,45.588063
29,7615-7617 N LOMBARD ST,3,UNKNOWN,,,,,,1948,1.0,"Church, Religious Organizations",St Johns Neighborhood Association,7615-7617 N LOMBARD ST PORTLAND OREGON,-122.7445323,45.5886249
30,8001-8005 N LOMBARD,3,UNKNOWN,,,,,,1949,1.0,,St Johns Neighborhood Association,8001-8005 N LOMBARD PORTLAND OREGON,-122.7480882,45.5893388
31,8002 N LOMBARD,3,UNKNOWN,,,,,,1947,1.0,,St Johns Neighborhood Association,8002 N LOMBARD PORTLAND OREGON,-122.7482415,45.5890989
32,8014 N LOMBARD,3,UNKNOWN,,,,14-219735-CO,Abandoned,1953,1.0,,St Johns Neighborhood Association,8014 N LOMBARD PORTLAND OREGON,-122.7484546,45.5891539
33,8040 N LOMBARD,3,UNKNOWN,,,,,,1946,1.0,,St Johns Neighborhood Association,8040 N LOMBARD PORTLAND OREGON,-122.748793,45.589251
34,8240-8242 N LOMBARD,3,UNKNOWN,,,,,,1910,1.0,,St Johns Neighborhood Association,8240-8242 N LOMBARD PORTLAND OREGON,-122.751682,45.588958
35,8250 N LOMBARD,3,UNKNOWN,,,,,,1951,1.0,,St Johns Neighborhood Association,8250 N LOMBARD PORTLAND OREGON,-122.7519081,45.589073
36,8425 N LOMBARD,3,UNKNOWN,,,,,,1941,1.0,"Literary, Benevolent, Charitable Organizations",St Johns Neighborhood Association,8425 N LOMBARD PORTLAND OREGON,-122.7534149,45.5900504
37,6815 N RICHMOND,3,REROOF,Reroof,,,19-109428-CO,Under review.  Re-roof code level not currently noted in TRACS.,1955,1.0,,Cathedral Park Neighborhood Association,6815 N RICHMOND PORTLAND OREGON,-122.7537141,45.5854448
38,8438 N LOMBARD ST,3,UNKNOWN,,,,,,1929,1.0,,St Johns Neighborhood Association,8438 N LOMBARD ST PORTLAND OREGON,-122.7537661,45.5897252
39,6941 N CENTRAL ST,2,UNKNOWN,,2016,ASCE 41,15-132039-CO,"Under inspection
Voluntary upgrade/major remodel",1921,1.0,School District Property Taxable Tenant (Info Only),St Johns Neighborhood Association,6941 N CENTRAL ST PORTLAND OREGON,-122.7387742,45.5900627
40,7301 N LOMBARD ST,4,UNKNOWN,,,,,,1923,1.0,,St Johns Neighborhood Association,7301 N LOMBARD ST PORTLAND OREGON,-122.7420961,45.5880272
41,7413 N LOMBARD ST,4,UNKNOWN,,,,,,1954,1.0,,St Johns Neighborhood Association,7413 N LOMBARD ST PORTLAND OREGON,-122.7429897,45.5881826
42,5833 N LOMBARD ST,3,UNKNOWN,,,,,,1925,2.0,,Portsmouth Neighborhood Association,5833 N LOMBARD ST PORTLAND OREGON,-122.7278731,45.58415720000001
43,6525 N LOMBARD ST,3,UNKNOWN,,,,,,1949,2.0,,Portsmouth Neighborhood Association,6525 N LOMBARD ST PORTLAND OREGON,-122.7335627,45.5865081
44,9243 N BURRAGE AV,4,UNKNOWN,,,,,,1952,1.0,,Kenton Neighborhood Association,9243 N BURRAGE AV PORTLAND OREGON,-122.695355,45.5899458
45,2701 N NEWARK ST,3,UNKNOWN,,,,,,1947,1.0,,Kenton Neighborhood Association,2701 N NEWARK ST PORTLAND OREGON,-122.6941964,45.5909033
46,1815 N COLUMBIA BLVD,3,UNKNOWN,,,,,,1938,1.0,Cancelled Assessment Enterprise Zone,Kenton Neighborhood Association,1815 N COLUMBIA BLVD PORTLAND OREGON,-122.6846605,45.5867083
47,2121 N COLUMBIA BLVD,3,UNKNOWN,,,,,,1942,1.0,,Kenton Neighborhood Association,2121 N COLUMBIA BLVD PORTLAND OREGON,-122.6872998,45.58707589999999
48,5510 N LOMBARD ST,3,UNKNOWN,,,,,,1948,1.0,,University Park Neighborhood Association,5510 N LOMBARD ST PORTLAND OREGON,-122.7264316,45.582953
49,7602 N EMERALD AV,2,UNKNOWN,,,,,,1907,2.0,Religious School/Student,Kenton Neighborhood Association,7602 N EMERALD AV PORTLAND OREGON,-122.6993579,45.5778154
50,2501 N LOMBARD ST,4,UNKNOWN,,,,,,1947,1.0,,Kenton Neighborhood Association,2501 N LOMBARD ST PORTLAND OREGON,-122.6926414,45.5773161
51,2627-2629 N LOMBARD ST,4,REROOF,Reroof,2012,ASCE 31,12-106567-CO,,1948,1.0,,Kenton Neighborhood Association,2627-2629 N LOMBARD ST PORTLAND OREGON,-122.6940103,45.5773353
52,2829 N LOMBARD ST,3,PARTIAL,Other,1999,,99-001254-CO,,1954,1.0,,Kenton Neighborhood Association,2829 N LOMBARD ST PORTLAND OREGON,-122.6959099,45.5773991
53,3101-3107 N LOMBARD ST,3,UNKNOWN,,,,,,1927,1.0,,Kenton Neighborhood Association,3101-3107 N LOMBARD ST PORTLAND OREGON,-122.6981112,45.5773603
54,3121 N LOMBARD ST,4,UNKNOWN,,,,,,1927,1.0,,Kenton Neighborhood Association,3121 N LOMBARD ST PORTLAND OREGON,-122.6984606,45.5773062
55,7654 N DELAWARE AVE,2,UNKNOWN,,,,,,1948,1.0,Lease/Non-Profit to Non-Profit,Kenton Neighborhood Association,7654 N DELAWARE AVE PORTLAND OREGON,-122.6917214,45.57861949999999
56,8213-8217 N DENVER AV,3,UNKNOWN,,,,,,1928,1.0,,Kenton Neighborhood Association,8213-8217 N DENVER AV PORTLAND OREGON,-122.6872487,45.5826807
57,8221-8237 N DENVER AVE,3,PARTIAL,Other,2005,IBC 2003,05-115757-REV-01-CO   ,,1945,1.0,,Kenton Neighborhood Association,8221-8237 N DENVER AVE PORTLAND OREGON,-122.6873465,45.5828864
58,2017 N MCCLELLAN ST,3,UNKNOWN,,,,,,1910,3.0,Historic Property 15 Yr,Kenton Neighborhood Association,2017 N MCCLELLAN ST PORTLAND OREGON,-122.6873651,45.5832174
59,2408 N FARRAGUT ST,3,UNKNOWN,,,,,Roof ties added in 1978 under permit 516395,1947,2.0,"Literary, Benevolent, Charitable Organizations",Kenton Neighborhood Association,2408 N FARRAGUT ST PORTLAND OREGON,-122.6914491,45.5789333
60,2025 N KILPATRICK ST,3,UNKNOWN,,,,,,1949,1.0,,Kenton Neighborhood Association,2025 N KILPATRICK ST PORTLAND OREGON,-122.6875299,45.5825776
61,2044 N KILPATRICK ST,3,UNKNOWN,,2010,,,,1910,3.0,,Kenton Neighborhood Association,2044 N KILPATRICK ST PORTLAND OREGON,-122.6877713,45.582212
62,2435 N LOMBARD ST,3,UNKNOWN,,,,,,1948,1.0,Alternative Energy,Kenton Neighborhood Association,2435 N LOMBARD ST PORTLAND OREGON,-122.6921658,45.5772451
63,2030 N WILLIS BLVD,4,UNKNOWN,,2012,,,,1953,1.0,,Kenton Neighborhood Association,2030 N WILLIS BLVD PORTLAND OREGON,-122.6876214,45.5837006
64,7816 N INTERSTATE AVE,3,UNKNOWN,,,,,,1947,1.0,,Kenton Neighborhood Association,7816 N INTERSTATE AVE PORTLAND OREGON,-122.6817259,45.58015899999999
65,605 N COLUMBIA BLVD,3,UNKNOWN,,,,, ,1921,2.0,,Piedmont Neighborhood Association,605 N COLUMBIA BLVD PORTLAND OREGON,-122.6725345,45.583847
66,635 N COLUMBIA BLVD,3,UNKNOWN,,,,,,1954,1.0,,Piedmont Neighborhood Association,635 N COLUMBIA BLVD PORTLAND OREGON,-122.6730854,45.5839996
67,801 N LOMBARD ST,3,UNKNOWN,,,,,,1936,1.0,,Piedmont Neighborhood Association,801 N LOMBARD ST PORTLAND OREGON,-122.6750223,45.5773705
68,81 NE COLUMBIA BLVD,3,UNKNOWN,,,,,,1929,1.0,,Piedmont Neighborhood Association,81 NE COLUMBIA BLVD PORTLAND OREGON,-122.6652599,45.582578
69,55 NE FARRAGUT ST,3,UNKNOWN,,,,00-168947-CO,"Permit approved for upgrade, but cancelled October 2011.",1912,2.0,Lease/Purchase Non-Profit or Public Body,Piedmont Neighborhood Association,55 NE FARRAGUT ST PORTLAND OREGON,-122.6656359,45.5796594
70,7625-7629 NE M L KING BLVD,3,UNKNOWN,,,,,,1932,3.0,Alternative Energy,Piedmont Neighborhood Association,7625-7629 NE M L KING BLVD PORTLAND OREGON,-122.6616902,45.5784576
71,8135 NE M L KING BLVD,3,UNKNOWN,,,,,,1939,2.0,,Piedmont Neighborhood Association,8135 NE M L KING BLVD PORTLAND OREGON,-122.6624367,45.5825364
72,8235 NE M L KING BLVD,3,UNKNOWN,,,,,,1948,1.0,,Piedmont Neighborhood Association,8235 NE M L KING BLVD PORTLAND OREGON,-122.6631228,45.583016
73,7515 NE 13TH AV,3,UNKNOWN,,,,,,1948,1.0,,Woodlawn Neighborhood Association,7515 NE 13TH AV PORTLAND OREGON,-122.6521035,45.5774123
74,535 NE COLUMBIA BLVD,3,UNKNOWN,,,,,,1949,1.0,,Sunderland Neighborhood Association,535 NE COLUMBIA BLVD PORTLAND OREGON,-122.6591193,45.58086309999999
75,901 NE LOMBARD ST,4,UNKNOWN,,,,,,1948,1.0,,Woodlawn Neighborhood Association,901 NE LOMBARD ST PORTLAND OREGON,-122.6553972,45.5774063
76,5000 N WILLAMETTE BLVD,2,PARTIAL,Other,1997,"UBC,Voluntary",91-105921-CO / 92-101519-CO / 92-102828-CO / 92-104682-CO / 93-101882-CO,Appears upgrade design was only to Zone 2B,1891,4.0,Alternative Energy,University Park Neighborhood Association,5000 N WILLAMETTE BLVD PORTLAND OREGON,-122.7238071,45.5735801
77,5000 N WILLAMETTE BLVD,3,PARTIAL,Other,1996,"UBC,Voluntary",95-000504-CO,,1911,3.0,Alternative Energy,University Park Neighborhood Association,5000 N WILLAMETTE BLVD PORTLAND OREGON,-122.7238071,45.5735801
78,2540 N LOMBARD ST,4,UNKNOWN,,,,,,1947,1.0,,Arbor Lodge Neighborhood Association,2540 N LOMBARD ST PORTLAND OREGON,-122.6932594,45.576912
79,2824 N LOMBARD ST,3,UNKNOWN,,,,,,1954,1.0,,Arbor Lodge Neighborhood Association,2824 N LOMBARD ST PORTLAND OREGON,-122.6960582,45.5768783
80,2834 N LOMBARD ST,4,REROOF,Reroof,1998,UBC,98-002896-CO,,1955,1.0,,Arbor Lodge Neighborhood Association,2834 N LOMBARD ST PORTLAND OREGON,-122.6963085,45.5769625
81,2900-2906 N LOMBARD ST,3,UNKNOWN,,,,,,1923,1.0,,Arbor Lodge Neighborhood Association,2900-2906 N LOMBARD ST PORTLAND OREGON,-122.6967064,45.576881
82,2924 N LOMBARD ST,3,UNKNOWN,,,,,,1955,1.0,,Arbor Lodge Neighborhood Association,2924 N LOMBARD ST PORTLAND OREGON,-122.6970866,45.5769598
83,2940 N LOMBARD ST,3,UNKNOWN,,,,,,1929,1.0,,Arbor Lodge Neighborhood Association,2940 N LOMBARD ST PORTLAND OREGON,-122.6973001,45.5768235
84,3134 N LOMBARD ST,3,UNKNOWN,,,,,,1955,1.0,Lease/Purchase Non-Profit or Public Body,Arbor Lodge Neighborhood Association,3134 N LOMBARD ST PORTLAND OREGON,-122.6989396,45.576715
85,3310-3316 N LOMBARD ST,3,UNKNOWN,,,,,,1953,1.0,,Arbor Lodge Neighborhood Association,3310-3316 N LOMBARD ST PORTLAND OREGON,-122.7008899,45.5769217
86,2052-2056 N LOMBARD ST,3,UNKNOWN,,,,,,1925,1.0,,Arbor Lodge Neighborhood Association,2052-2056 N LOMBARD ST PORTLAND OREGON,-122.6880217,45.5768924
87,2126 N LOMBARD ST,4,UNKNOWN,,,,,,1955,1.0,,Arbor Lodge Neighborhood Association,2126 N LOMBARD ST PORTLAND OREGON,-122.6885407,45.5769444
88,6524 N ALBINA AV,3,UNKNOWN,,,,,,1922,1.0,,Piedmont Neighborhood Association,6524 N ALBINA AV PORTLAND OREGON,-122.6745707,45.5704589
89,7001-7013 N ALBINA AV,3,REROOF,Reroof,2010,ASCE 31,10-159646-CO,,1926,1.0,,Piedmont Neighborhood Association,7001-7013 N ALBINA AV PORTLAND OREGON,-122.6750682,45.57357589999999
90,7424 N MISSISSIPPI AVE,2,FULL,,2014,IBC 2006,12-156434-CO,change of occupancy,1924,3.0,Lease/Purchase Non-Profit or Public Body,Piedmont Neighborhood Association,7424 N MISSISSIPPI AVE PORTLAND OREGON,-122.6759438,45.5767047
91,9-127 N ROSA PARKS WAY,2,UNKNOWN,,,,,,1911,1.0,"Church, Religious Organizations",Piedmont Neighborhood Association,9-127 N ROSA PARKS WAY PORTLAND OREGON,-122.6677362,45.570303
92,711 NE DEKUM ST,3,PARTIAL,Other,2008,ASCE 31,07-177561-CO,"roof ties, unclear if entire perimeter",1905,1.0,,Woodlawn Neighborhood Association,711 NE DEKUM ST PORTLAND OREGON,-122.6574515,45.5719758
93,806-808 NE DEKUM,3,PARTIAL,Other,2010,IBC 2006,09-111839-CO,Conventional wood construction on brick foundation.  New plywood shear walls.  Foundation only remedied where damaged since no upgrade was triggered.,1890,2.0,,Woodlawn Neighborhood Association,806-808 NE DEKUM PORTLAND OREGON,-122.6570764,45.5715282
94,814 NE DEKUM ST,3,UNKNOWN,,,,17-284264-CO,Only the front wall is URM.  This permit may be making the wall to not be bearing (permit under review) and therefore no longer a URM.,1911,1.0,,Woodlawn Neighborhood Association,814 NE DEKUM ST PORTLAND OREGON,-122.656941,45.5715223
95,909 NE DEKUM ST,3,UNKNOWN,,,,,,1951,1.0,,Woodlawn Neighborhood Association,909 NE DEKUM ST PORTLAND OREGON,-122.6563248,45.5719213
96,1301-1311 NE DEKUM ST,3,UNKNOWN,,,,,,1948,2.0,,Woodlawn Neighborhood Association,1301-1311 NE DEKUM ST PORTLAND OREGON,-122.651484,45.5720125
97,7050 NE M L KING BLVD,3,UNKNOWN,,,,,,1950,1.0,,Woodlawn Neighborhood Association,7050 NE M L KING BLVD PORTLAND OREGON,-122.6611162,45.574031
98,7100 NE M L KING BLVD ,3,FULL,,2011,IBC 2003,06-177880-CO,Addition of 3 stories,1927,4.0,,Woodlawn Neighborhood Association,7100 NE M L KING BLVD  PORTLAND OREGON,-122.6611712,45.5745397
99,7212 NE M L KING BLVD,4,UNKNOWN,,,,,,1949,1.0,,Woodlawn Neighborhood Association,7212 NE M L KING BLVD PORTLAND OREGON,-122.6609979,45.57540600000001
100,7304 NE M L KING BLVD,3,REROOF,Reroof,2014,"IBC 2009,Voluntary",12-195668-CO,,1930,1.0,,Woodlawn Neighborhood Association,7304 NE M L KING BLVD PORTLAND OREGON,-122.6610246,45.5759529
101,7318 NE 29TH AV,4,UNKNOWN,,,,,,1954,1.0,,Sunderland Neighborhood Association,7318 NE 29TH AV PORTLAND OREGON,-122.6352444,45.5749744
102,2919 NE COLUMBIA BLVD,4,UNKNOWN,,,,,,1946,1.0,,Sunderland Neighborhood Association,2919 NE COLUMBIA BLVD PORTLAND OREGON,-122.6354303,45.574884
103,3256 NE COLUMBIA BLVD,3,UNKNOWN,,,,,,1931,1.0,,Concordia Neighborhood Association,3256 NE COLUMBIA BLVD PORTLAND OREGON,-122.6315688,45.5736007
104,4123 NE COLUMBIA BLVD,4,UNKNOWN,,,,,,1941,1.0,,Sunderland Neighborhood Association,4123 NE COLUMBIA BLVD PORTLAND OREGON,-122.6207573,45.5720839
105,5413 NE COLUMBIA BLVD,3,UNKNOWN,,,,,,1912,1.0,,Cully Association of Neighbors,5413 NE COLUMBIA BLVD PORTLAND OREGON,-122.6078269,45.57062699999999
106,5959 NW ST HELENS RD,4,UNKNOWN,,,,,,1953,1.0,,Linnton Neighborhood Association,5959 NW ST HELENS RD PORTLAND OREGON,-122.7477848,45.564585
107,5822-5824 N GREELEY AVE,4,UNKNOWN,,,,,,1951,1.0,,Overlook Neighborhood Association,5822-5824 N GREELEY AVE PORTLAND OREGON,-122.6952779,45.5655383
108,6008 N GREELEY ST,3,UNKNOWN,,,,,,1931,1.0,,Arbor Lodge Neighborhood Association,6008 N GREELEY ST PORTLAND OREGON,-122.6953473,45.5665309
109,6454 N GREELEY AV,4,UNKNOWN,,,,,,1919,1.0,,Arbor Lodge Neighborhood Association,6454 N GREELEY AV PORTLAND OREGON,-122.6952535,45.5697499
110,3149 N WILLAMETTE BLVD,3,UNKNOWN,,,,,,1924,2.0,,Arbor Lodge Neighborhood Association,3149 N WILLAMETTE BLVD PORTLAND OREGON,-122.6989816,45.5678952
111,5511 N INTERSTATE AV,4,UNKNOWN,,,,,,1929,1.0,,Overlook Neighborhood Association,5511 N INTERSTATE AV PORTLAND OREGON,-122.6825666,45.5629375
112,2009 N KILLINGSWORTH ST,3,UNKNOWN,,,,,"Note in 1996 re-roof permit, ""CMU EXTERIOR WALLS, REINFORCING DONE UNDER 1980 PERMIT"".  No permit information for 1980 was found in fiche.",1924,1.0,,Overlook Neighborhood Association,2009 N KILLINGSWORTH ST PORTLAND OREGON,-122.6878047,45.56284120000001
113,2105 N KILLINGSWORTH ST,3,FULL,,2012,IBC 2006,08-153299-CO,,1936,1.0,,Overlook Neighborhood Association,2105 N KILLINGSWORTH ST PORTLAND OREGON,-122.6891024,45.5629392
114,2201 N KILLINGSWORTH ST,3,UNKNOWN,,,,,,1910,1.0,,Overlook Neighborhood Association,2201 N KILLINGSWORTH ST PORTLAND OREGON,-122.6894287,45.5629168
115,6425 N ALBINA AV,3,UNKNOWN,,,,,,1937,1.0,,Piedmont Neighborhood Association,6425 N ALBINA AV PORTLAND OREGON,-122.6751361,45.56959880000001
116,5624 N BORTHWICK AVE,3,UNKNOWN,,,,,,1920,4.0,School Districts,Humboldt Neighborhood Association,5624 N BORTHWICK AVE PORTLAND OREGON,-122.6734948,45.5639748
117,5930-5940 N INTERSTATE AV,3,PARTIAL,Other,2013,IBC 2006,11-134952-CO,New moment frame at storefront and it appears diaphragm strengthening and strapping,1916,2.0,,Overlook Neighborhood Association,5930-5940 N INTERSTATE AV PORTLAND OREGON,-122.6818373,45.5660953
118,805 N KILLINGSWORTH ST,3,UNKNOWN,,,,,,1912,2.0,,Humboldt Neighborhood Association,805 N KILLINGSWORTH ST PORTLAND OREGON,-122.675172,45.5627811
119,811-815 N KILLINGSWORTH ST,3,FULL,,2013,"IBC 2012,Voluntary",12-180712-FA,Voluntary/full to current code,1926,1.0,School Districts,Humboldt Neighborhood Association,811-815 N KILLINGSWORTH ST PORTLAND OREGON,-122.6753708,45.56289839999999
120,819-823 N KILLINGSWORTH ST,3,UNKNOWN,,,,,,1948,1.0,,Humboldt Neighborhood Association,819-823 N KILLINGSWORTH ST PORTLAND OREGON,-122.6755173,45.56289779999999
121,825 N KILLINGSWORTH ST,3,UNKNOWN,,,,,,1923,1.0,,Humboldt Neighborhood Association,825 N KILLINGSWORTH ST PORTLAND OREGON,-122.6756209,45.5628509
122,1233 N KILLINGSWORTH ST,3,UNKNOWN,,,,,,1948,1.0,Alternative Energy,Overlook Neighborhood Association,1233 N KILLINGSWORTH ST PORTLAND OREGON,-122.6799198,45.5629225
123,441 N KILLINGSWORTH ST,3,UNKNOWN,,,,,,1949,1.0,,Humboldt Neighborhood Association,441 N KILLINGSWORTH ST PORTLAND OREGON,-122.6710976,45.562892
124,435 N KILLINGSWORTH ST,3,UNKNOWN,,,,,,1949,1.0,,Humboldt Neighborhood Association,435 N KILLINGSWORTH ST PORTLAND OREGON,-122.6709011,45.5629082
125,6019 NE M L KING BLVD,3,UNKNOWN,,,,,,1938,1.0,,Piedmont Neighborhood Association,6019 NE M L KING BLVD PORTLAND OREGON,-122.6616977,45.5668717
126,6021 NE M L KING BLVD,4,UNKNOWN,,,,,,1938,1.0,,Piedmont Neighborhood Association,6021 NE M L KING BLVD PORTLAND OREGON,-122.6617275,45.5669158
127,6410 NE 27TH AVE,3,UNKNOWN,,,,,,,1.0,Religious School/Student,Concordia Neighborhood Association,6410 NE 27TH AVE PORTLAND OREGON,-122.6376726,45.5693639
128,5501 NE 30TH AVE,3,UNKNOWN,,,,,,1926,1.0,,Concordia Neighborhood Association,5501 NE 30TH AVE PORTLAND OREGON,-122.6352048,45.5628129
129,2811 NE HOLMAN ST,3,UNKNOWN,,,,,,1947,2.0,Religious School/Student,Concordia Neighborhood Association,2811 NE HOLMAN ST PORTLAND OREGON,-122.6373132,45.5685408
130,2921 NE KILLINGSWORTH ST,3,UNKNOWN,,,,,,1947,1.0,,Concordia Neighborhood Association,2921 NE KILLINGSWORTH ST PORTLAND OREGON,-122.6354046,45.5629134
131,5736 NE 33RD AV,3,UNKNOWN,,1996,UBC,96-003162-CO,change of occupancy - permit expired,1924,2.0,Historic Property 10 YR,Concordia Neighborhood Association,5736 NE 33RD AV PORTLAND OREGON,-122.6299282,45.5644813
132,4703 NE PORTLAND HWY,3,UNKNOWN,,,,,,1954,1.0,,Cully Association of Neighbors,4703 NE PORTLAND HWY PORTLAND OREGON,-122.6127118,45.5693731
133,5941 NE KILLINGSWORTH ST,3,UNKNOWN,,,,,,1951,1.0,,Cully Association of Neighbors,5941 NE KILLINGSWORTH ST PORTLAND OREGON,-122.6011925,45.5630034
134,5207 NE PORTLAND HWY,4,UNKNOWN,,,,,,1949,1.0,,Cully Association of Neighbors,5207 NE PORTLAND HWY PORTLAND OREGON,-122.6091369,45.5687688
135,6880 NE COLUMBIA BLVD,3,UNKNOWN,,,,,,1944,1.0,,Cully Association of Neighbors,6880 NE COLUMBIA BLVD PORTLAND OREGON,-122.5916717,45.5670335
136,6010 NE 105TH AVE,4,UNKNOWN,,,,,,1941,1.0,,Parkrose Neighborhood Association,6010 NE 105TH AVE PORTLAND OREGON,-122.5537999,45.56617929999999
137,700-708 N KILLINGSWORTH ST,3,UNKNOWN,,,,,,1913,3.0,Lease/Purchase Non-Profit or Public Body,Humboldt Neighborhood Association,700-708 N KILLINGSWORTH ST PORTLAND OREGON,-122.6741698,45.5624664
